"","ID","EventID","TimeBefore","IslandBefore","IslandAfter","EventDate","EventTimeDiff","EventMonth","EventX1","EventY1","EventX2","EventY2","AreaBefore","AreaAfter","IslandDistance","Date","SinceJudas","IceCover","IceThickness","MinDistIslands","MeanDist_k5","MeanDist_k10","MeanDist_all","N0_EventX1","N0_EventY1","AreaBefore_km2","AreaAfter_km2","IslandDistance_km","Judas","Ice","Sex","SteppingStones","IslandDensity","Islands_within","WaterTravelDist","LeastCostLength","SinceJudas_inv","WaterTravelKM","LeastCostKM","DistDifference","PerDifference","SteppingStoneDensity"
"11","R10","R10_4",26,"21236","21239","2021-06-04 03:00:00",2,"6",210177.982411255,6666599.41304528,210073.340277251,6666989.01293979,154606.20070355,10060.6506894992,35.0785463127678,"2021-06-04",-1,0,0,0.00404055316905967,0.326105471000772,0.556441334583225,43.2170144086301,210177.982411255,6666599.41304528,0.15460620070355,0.0100606506894992,0.0350785463127678,"Before","Water","Male",0,0.145404943400352,21,40.9988532299076,438.995051348691,0,0.0409988532299076,0.438995051348691,0.0059203069171398,0.168772869444277,0
"12","R11","R11_1",456,"29869","31134","2022-02-06 23:00:00",4,"2",247200.807275763,6662307.18545553,247129.155019164,6660211.36292036,545094827.401155,138387.653782982,119.655711286183,"2022-02-06",20,90,7,0.0119727955748879,0.291126192250877,0.558599415744487,55.7472816923889,247649.174709841,6662332.58586433,545.094827401155,0.138387653782982,0.119655711286183,"After","Ice","Male",0,0.617429496070273,59,204.680794795338,2918.95943856161,0.05,0.204680794795338,2.91895943856161,0.085025083509155,0.710581071268707,0
"13","R11","R11_2",2,"31134","29869","2022-02-07 01:00:00",2,"2",247129.155019164,6660211.36292036,246103.533983285,6662294.29322421,138387.653782982,545094827.401155,119.655711286183,"2022-02-07",21,90,7,0.251730101248262,0.345355912497914,0.409625902800161,55.8726354017543,247129.155019164,6660211.36292036,0.138387653782982,545.094827401155,0.119655711286183,"After","Ice","Male",0,0.562369887817757,70,144.695724872793,2414.95341569978,0.0476190476190476,0.144695724872793,2.41495341569978,0.02504001358661,0.209267182631352,0
"14","R12","R12_2",1106,"29869","34218","2022-03-30 19:00:00",18,"3",259796.68489724,6662010.9463743,259408.532802528,6662626.57546667,545094827.401155,67.9135729995323,20.0967243038214,"2022-03-30",72,90,10,0.414120796399151,0.490297908266761,0.858461215304457,63.9084928814777,259796.68489724,6662010.9463743,545.094827401155,6.79135729995323e-05,0.0200967243038214,"After","Ice","Male",0,0.832923990175764,5,25.8775270848913,771.443452237427,0.0138888888888889,0.0258775270848913,0.771443452237427,0.0057808027810699,0.287649006558282,0
"15","R12","R12_3",4,"34218","34139","2022-03-30 23:00:00",4,"3",259408.532802528,6662626.57546667,258911.353222653,6663132.58144523,67.9135729995323,5638594.87472417,122.843082477051,"2022-03-30",72,90,10,0.02230707351645,0.387797912113344,0.79635804572667,63.6045203315568,259408.532802528,6662626.57546667,6.79135729995323e-05,5.63859487472417,0.122843082477051,"After","Ice","Male",1,0.697734790939164,13,95.7598316988813,890.317918924282,0.0138888888888889,0.0957598316988813,0.890317918924282,-0.0270832507781697,-0.220470296186432,1.1231942868321
"16","R12","R12_4",20,"34139","29869","2022-03-31 19:00:00",18,"3",259014.161766808,6662793.1261035,259896.12916863,6662027.34813637,5638594.87472417,545094827.401155,63.5586051553168,"2022-03-31",73,90,10,0.263025010050746,0.56356462416142,0.74864508895594,63.3170181292261,259014.161766808,6662793.1261035,5.63859487472417,545.094827401155,0.0635586051553168,"After","Ice","Male",0,0.779077506530038,11,84.9554712396911,1542.88690447486,0.0136986301369863,0.0849554712396911,1.54288690447486,0.0213968660843743,0.336647823407817,0
"17","R14","R14_1",2138,"29869","29864","2023-01-23 19:00:00",18,"1",242443.428535988,6662881.54671566,242614.883390391,6660915.03128846,545094827.401155,181566.591026474,66.2545088219216,"2023-01-23",-1,25.2272727272727,1.08116883116883,0.528706196716831,0.74627108831857,0.847009480626896,53.1679131603136,242443.428535988,6662881.54671566,545.094827401155,0.181566591026474,0.0662545088219216,"Before","Ice","Male",0,0.479123203607603,26,73.2927154943017,2229.8876376123,0,0.0732927154943017,2.2298876376123,0.0070382066723801,0.10622985208897,0
"18","R14","R14_2",22,"29864","29869","2023-01-24 17:00:00",16,"1",242758.522242739,6660304.43722109,242652.663371379,6661079.20244944,181566.591026474,545094827.401155,66.2545088219216,"2023-01-24",-1,25,1.07142857142857,0.0450041355940233,0.200741857030844,0.347933728443184,53.5639434688645,242758.522242739,6660304.43722109,0.181566591026474,545.094827401155,0.0662545088219216,"Before","Ice","Male",0,0.38882968479168,20,66.3399228156006,933.858938586779,0,0.0663399228156006,0.933858938586779,8.54139936789927e-05,0.00128918009049871,0
"19","R15","R15_1",480,"29216","29807","2021-11-13 02:00:00",4,"11",240890.491064507,6653439.81160353,242040.73143259,6653211.7294679,1885238.26475638,236162.035327498,33.7574989614829,"2021-11-13",-1,0,0,0.0319420454533472,0.353700132988833,0.516441037904902,53.9185735148593,241135.026700451,6652641.63968881,1.88523826475638,0.236162035327498,0.0337574989614829,"Before","Water","Male",0,0.401836361566332,42,50.4810077562885,1326.35117453674,0,0.0504810077562885,1.32635117453674,0.0167235087948056,0.495401297764595,0
"20","R15","R15_2",2,"29807","29216","2021-11-13 04:00:00",2,"11",242040.73143259,6653211.7294679,241031.629911786,6652910.34695958,236162.035327498,1885238.26475638,33.7574989614829,"2021-11-13",-1,0,0,0.273750480160956,0.577307066152901,0.660237134426004,54.4900933566099,242040.73143259,6653211.7294679,0.236162035327498,1.88523826475638,0.0337574989614829,"Before","Water","Male",0,0.41059511772353,39,49.8592558836944,1201.29636796239,0,0.0498592558836944,1.20129636796239,0.0161017569222115,0.476983112421436,0
